id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50324732,Beautiful Brand New Townhome Minutes from Downtown,132861399,Gina,,West Colfax,39.73665,-105.04046,Entire home/apt,160,29,0,,,1,177,0,
50980030,Charming 1 bedroom home in beautiful Park Hill!,7883117,Justin,,North Park Hill,39.75621,-104.90995,Entire home/apt,91,1,76,2022-12-26,4.28,1,363,44,2021-BFN-0003526
50986392,"University 2BR w/ W/D, Roof, next to U of D",107434423,Blueground,,University Park,39.6792138,-104.9569332,Entire home/apt,166,31,1,2022-02-07,0.09,243,318,1,
50990044,Explore Denver In Our Sprawling Downtown Loft,70563805,Hideaway Vacation Rentals,,Civic Center,39.73355,-104.99031,Entire home/apt,99,29,5,2022-12-14,0.37,20,162,4,
50795094,Modern Garden-level Apartment in Wash Park/Speer,1253761,Theodore,,Speer,39.71222,-104.98343,Entire home/apt,130,1,51,2022-11-13,2.99,1,354,33,2021-BFN-0004466
50329528,Capital Hill's Cozy Cottage by Richard,406434189,Richard,,Cheesman Park,39.73497,-104.97299,Private room,86,2,100,2022-12-21,5.56,1,137,72,2020-BFN-0000676
50798471,Classic rental in the heart of the Denver.,82716492,Jaci,,Sloan Lake,39.75201,-105.02701,Entire home/apt,100,2,64,2022-11-13,3.65,1,299,39,2021-BFN-0001164
50806363,Stylish and Modern 1 Bed / 2 Bath with Flex Space,179191292,Jeff,,Overland,39.68119,-104.9895,Entire home/apt,90,29,0,,,3,243,0,
50808701,Amazing Location! Cozy 1 Bd/1 Ba Private Suite,27359136,Ann,,Washington Park West,39.7004,-104.97817,Entire home/apt,99,2,60,2022-12-05,3.52,1,86,43,2021-BFN-0005815
50329886,Cheerful Guest Suite near Sloan's Lake,46401356,Lisa,,Sloan Lake,39.75545,-105.04355,Entire home/apt,96,1,91,2022-12-13,4.86,1,175,56,2021-BFN-0003266
50819162,Home Theater Hangout | A+ Location | Luxe Backyard,410792375,Jorden,,Hale,39.7397,-104.9359,Entire home/apt,227,1,41,2022-02-27,2.28,1,26,13,2022-BFN-0014308
50826741,Basement  rooms  for rent,395245855,Azmeraw,,Gateway - Green Valley Ranch,39.77847,-104.78066,Shared room,153,1,1,2022-09-04,0.25,2,365,1,2022-BFN-0008798
50993604,Relaxing 2 bedroom residential home,396532300,Ivan,,Valverde,39.71381,-105.0221,Entire home/apt,120,1,84,2022-12-18,5.24,1,87,59,2021-BFN-0006638
50348223,Sloan’s Lake Pocket Luxury | Ladder off the Alley,39428882,Robby & Lily,,Sloan Lake,39.75404,-105.05282,Entire home/apt,129,2,84,2022-11-23,4.52,2,56,44,
50348691,Colorado’s Denver Den 10 minute drive to Downtown,3318889,Tatiana,,Cory - Merrill,39.68784,-104.95652,Entire home/apt,185,29,25,2022-06-12,1.38,1,89,9,2021-BFN-0004468
